label,requirement,enriched_domain_tags,enriched_stakeholder,enriched_complexity_level,enriched_action_type
PE,The system shall refresh the display every 60 seconds.,"['Display', 'Refresh', 'Timing']",User,Low,Update
LF,The application shall match the color of the schema set forth by Department of Homeland Security,"['Compliance', 'Security', 'Color Schema']",Legal,Medium,Create
US,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,"['Readability', 'Projection', 'Viewing Distance']",User,High,Read
A,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,"['Availability', 'Uptime', 'Business Hours']",User,Medium,Other
US,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,"['Understandability', 'Projection', 'Viewing Distance']",User,High,Read
SE,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,"['Security', 'Authentication', 'Authorization']",Security,High,Create
US,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,"['Usability', 'Intuitive', 'User Experience']",User,Medium,Create
PE,The product shall respond fast to keep up-to-date data in the display.,"['Performance', 'Response Time', 'Data Display']",User,Medium,Update
F,The system shall have a MDI form that allows for the viewing of the graph and the data table.,"['User Interface', 'Graphical Display', 'Data Visualization']",User,Medium,Create
F,The system shall display Events in a vertical table by time.,"['Data Display', 'Event Display', 'Time-based Display']",User,Low,Read
F,The system shall display the Events in a graph by time.,"['Events', 'Graph', 'Visualization']",User,Medium,Read
L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,"['Regulations', 'Compliance', 'Business Rules']",Legal,High,Other
L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,"['Audit Trail', 'Disputes', 'Compliance']",Security,Medium,Create
L,All actions that modify an existing dispute case must be recorded in the case history.,"['Disputes', 'Case History', 'Audit']",User,Low,Update
F,The Disputes System must be accessible by both internal and external users.,"['Accessibility', 'User Management', 'Security']",Admin,Medium,Other
F,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,"['Security', 'Access Control', 'Disputes']",Security,High,Other
F,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,"['User Interface', 'Data Entry', 'Disputes']",User,Medium,Create
F,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,"['Access Control', 'Disputes', 'User Management']",Admin,Medium,Other
F,The Disputes System shall provide view access capability for authorized users of the application.,"['Access Control', 'Disputes', 'Security']",User,Low,Read
F,The Disputes System shall provide update access capability for authorized users of the application.,"['Access Control', 'Disputes', 'Security']",User,Low,Update
F,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,"['Dispute Resolution', 'Transaction Management', 'User Interface']",User,Medium,Create
F,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,"['Dispute Resolution', 'Transaction Management', 'Merchant Management']",User,Medium,Create
F,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,"['Dispute Resolution', 'Transaction Management', 'Document Management']",User,High,Create
F,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,"['Dispute Resolution', 'Document Management', 'Transaction Management']",User,Medium,Create
F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,"['Access Control', 'Dispute Resolution', 'Security']",Security,Low,Other
F,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,"['Dispute Resolution', 'Transaction Management', 'User Interface']",User,Medium,Read
F,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,"['Dispute Resolution', 'Transaction Management', 'Document Management']",User,High,Create
F,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,"['Dispute Resolution', 'Transaction Management', 'User Interface']",User,Medium,Read
F,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,"['Data Integrity', 'Dispute Resolution', 'Security']",Security,High,Other
F,The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,"['Dispute Resolution', 'Transaction Management', 'Business Rules']",User,High,Read
F,The Disputes System must provide the ability to view existing dispute cases.,"['Dispute Management', 'Case Management', 'View Existing Disputes']",User,Low,Read
F,The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,"['Dispute Search', 'Case Search', 'Advanced Search']",User,High,Read
F,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,"['Search Results', 'Color-Coded List', 'Case List']",User,Medium,Read
F,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,"['Activity History', 'Dispute Case History', 'Audit Trail']",User,Medium,Read
F,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,"['Follow-up Actions', 'Dispute Case Management', 'User Access Control']",User,Medium,Update
F,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,"['Audit Trail', 'Activity Logging', 'Compliance']",Security,High,Create
F,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,"['Systematic Actions', 'Case Activity', 'User Notification']",User,High,Other
F,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,"['Letter Formatting', 'Print Letter Utility', 'Compliance']",Admin,Low,Other
F,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,"['Data Purging', 'Disputes Database', 'Compliance']",Admin,Medium,Delete
O,The product must support Internet Explorer 5.5 and above.,"['Browser Compatibility', 'Internet Explorer', 'Technical Requirements']",User,Low,Other
O,The product must support Mozilla Firefox 1.0 and above.,"['Browser Support', 'Product Compatibility', 'Software Requirements']",User,Low,Other
O,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,"['Data Integration', 'System Interface', 'Recycled Parts']",Admin,Medium,Read
O,The product shall run on the existing hardware for all environments.,"['Hardware Compatibility', 'Environment Support', 'Infrastructure']",Admin,Medium,Other
O,The product shall adhere to the corporate Architecture guidelines,"['Architecture', 'Corporate Guidelines', 'Design Principles']",Security,Medium,Other
LF,The product shall comply with corporate User Interface Guidelines,"['User Experience', 'Interface Design', 'Corporate Standards']",User,Low,Other
LF,The product shall comply with corporate color scheme,"['Brand Identity', 'Visual Design', 'Corporate Standards']",User,Low,Other
LF,The appearance of the product shall appear professional,"['User Experience', 'Visual Design', 'Professionalism']",User,Low,Other
PO,The software product is expected to run on Windows or Linux platforms.,"['Platform Support', 'Operating System', 'Software Compatibility']",Admin,Low,Other
US,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,"['Usability', 'User Experience', 'Accessibility']",User,High,Other
US,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,"['Productivity', 'Efficiency', 'User Performance']",User,High,Other
US,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,"['User Experience', 'Customer Satisfaction', 'Product Quality']",User,High,Other
US,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,"['Training', 'Usability', 'User Adoption']",Admin,Medium,Create
US,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,"['User Support', 'Documentation', 'User Experience']",User,Medium,Read
PE,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,"['Search Functionality', 'Performance', 'Recycled Parts']",User,High,Read
PE,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,"['Search Functionality', 'Performance', 'Repair Facility']",User,High,Read
PE,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,"['Reporting', 'Performance', 'Audit']",User,High,Read
PE,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,"['Data Storage', 'Performance', 'Repair Facility']",User,High,Create
A,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,"['Availability', 'Uptime', 'Maintenance']",Admin,High,Other
A,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,"['Uptime', 'Availability', 'Reliability']",Admin,High,Other
SC,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,"['Scalability', 'Performance', 'Concurrency']",Admin,High,Other
SC,The average number of recycled parts records per day shall be 50 000.,"['Recycling', 'Record Keeping', 'Performance Metrics']",User,Low,Read
SC,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,"['Scalability', 'Concurrent Users', 'System Performance']",Admin,High,Other
O,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,"['Usability', 'Operating Conditions', 'Estimation']",User,Medium,Other
O,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,"['System Integration', 'Scheduling', 'ChoiceParts']",Admin,Medium,Other
